epoch,accuracy,loss,val_accuracy,val_loss
0,0.3526155650615692,1.3381192684173584,0.4207492768764496,1.2979373931884766
1,0.6293938755989075,1.0293734073638916,0.6570605039596558,0.9555132985115051
2,0.7854968309402466,0.6076360940933228,0.6945244669914246,0.7716934084892273
3,0.845557689666748,0.4262900650501251,0.6974063515663147,0.7915632724761963
4,0.8809853196144104,0.34122234582901,0.6858789920806885,0.8307722210884094
5,0.897315263748169,0.28695666790008545,0.6657060384750366,0.8664124011993408
6,0.9211181998252869,0.2292707860469818,0.6685879230499268,0.9447547197341919
7,0.9366177916526794,0.19071999192237854,0.680115282535553,0.9890815019607544
8,0.94768887758255,0.16428254544734955,0.6772334575653076,0.9960169792175293
9,0.9543315768241882,0.14052797853946686,0.6657060384750366,1.089158296585083
10,0.9642956256866455,0.11918795108795166,0.6685879230499268,1.1637279987335205
11,0.9642956256866455,0.11283538490533829,0.6772334575653076,1.2412457466125488
12,0.9681705236434937,0.10075947642326355,0.6541786789894104,1.2788362503051758
13,0.9684472680091858,0.09630521386861801,0.6628242135047913,1.2851248979568481
14,0.971491813659668,0.08806324750185013,0.6657060384750366,1.3806724548339844
15,0.972875714302063,0.087868832051754,0.6570605039596558,1.4039947986602783
16,0.9739828109741211,0.08269675821065903,0.6628242135047913,1.3946887254714966
17,0.9748131632804871,0.0740935429930687,0.6743515729904175,1.3985567092895508
18,0.9767506122589111,0.07067110389471054,0.6685879230499268,1.453856110572815
19,0.9773041605949402,0.06878894567489624,0.6628242135047913,1.4643651247024536
20,0.9781345129013062,0.06712169200181961,0.6570605039596558,1.5018908977508545
21,0.9778577089309692,0.06554470956325531,0.6628242135047913,1.5500106811523438
22,0.9759202599525452,0.07154592871665955,0.6570605039596558,1.5657172203063965
23,0.9784113168716431,0.06241898611187935,0.6628242135047913,1.536702036857605
24,0.9789648652076721,0.0603543259203434,0.6541786789894104,1.537117838859558
